customer_id,first_name,last_name,email,city,country,registration_date,customer_segment
1,Lea,Fischer,lea.fischer1@example.com,Dresden,Germany,2023-02-21,Standard
2,Hannah,Becker,hannah.becker2@example.com,Munich,Germany,2024-04-02,Business
3,Tom,Fischer,tom.fischer3@example.com,Essen,Germany,2023-06-28,Premium
4,Jonas,Schmidt,jonas.schmidt4@example.com,Hamburg,Germany,2023-03-03,Standard
5,Emma,Becker,emma.becker5@example.com,Essen,Germany,2025-10-31,Standard
6,Anna,Schwarz,anna.schwarz6@example.com,Dresden,Germany,2024-02-12,Standard
7,Lea,Schwarz,lea.schwarz7@example.com,Cologne,Germany,2025-05-09,Standard
8,Marie,Zimmermann,marie.zimmermann8@example.com,Hanover,Germany,2024-07-23,Premium
9,Anna,Meyer,anna.meyer9@example.com,Stuttgart,Germany,2025-05-15,Standard
10,Hannah,Weber,hannah.weber10@example.com,Hanover,Germany,2024-03-16,Premium
11,Sophie,Fischer,sophie.fischer11@example.com,Duesseldorf,Germany,2023-07-09,Standard
12,Paul,Bauer,paul.bauer12@example.com,Essen,Germany,2024-12-05,Business
13,Hannah,Schmidt,hannah.schmidt13@example.com,Dortmund,Germany,2025-07-29,Premium
14,Paul,Richter,paul.richter14@example.com,Dortmund,Germany,2023-06-11,Standard
15,Lukas,Braun,lukas.braun15@example.com,Essen,Germany,2025-01-10,Standard
16,Emma,Schneider,emma.schneider16@example.com,Bremen,Germany,2023-04-04,Standard
17,Leon,Hoffmann,leon.hoffmann17@example.com,Nuremberg,Germany,2023-06-13,Standard
18,Leon,Fischer,leon.fischer18@example.com,Frankfurt,Germany,2025-02-17,Standard
19,Marie,Bauer,marie.bauer19@example.com,Stuttgart,Germany,2023-11-30,Standard
20,Felix,Wagner,felix.wagner20@example.com,Dresden,Germany,2024-06-30,Standard
21,David,Schneider,david.schneider21@example.com,Dortmund,Germany,2023-12-17,Standard
22,Tom,Becker,tom.becker22@example.com,Leipzig,Germany,2023-12-01,Standard
23,Laura,Schulz,laura.schulz23@example.com,Bremen,Germany,2024-03-25,Standard
24,Sophie,Schmidt,sophie.schmidt24@example.com,Nuremberg,Germany,2024-04-14,Standard
25,Max,Koch,max.koch25@example.com,Frankfurt,Germany,2025-04-01,Standard
26,Lena,Wagner,lena.wagner26@example.com,Cologne,Germany,2024-10-06,Premium
27,Lea,Schroeder,lea.schroeder27@example.com,Duisburg,Germany,2025-03-21,Standard
28,Lea,Wolf,lea.wolf28@example.com,Frankfurt,Germany,2023-10-20,Standard
29,Mia,Becker,mia.becker29@example.com,Dresden,Germany,2024-06-22,Standard
30,Sarah,Klein,sarah.klein30@example.com,Stuttgart,Germany,2025-03-28,Standard
31,Leon,Weber,leon.weber31@example.com,Leipzig,Germany,2025-11-09,Standard
32,Lena,Schmidt,lena.schmidt32@example.com,Munich,Germany,2023-08-13,Standard
33,Lea,Meyer,lea.meyer33@example.com,Essen,Germany,2025-05-14,Standard
34,Lena,Richter,lena.richter34@example.com,Essen,Germany,2025-02-20,Business
35,Marie,Neumann,marie.neumann35@example.com,Dortmund,Germany,2024-05-29,Business
36,Anna,Fischer,anna.fischer36@example.com,Hanover,Germany,2024-06-30,Premium
37,Lea,Koch,lea.koch37@example.com,Frankfurt,Germany,2023-08-17,Standard
38,Jonas,Meyer,jonas.meyer38@example.com,Berlin,Germany,2025-07-18,Standard
39,Tom,Schulz,tom.schulz39@example.com,Hanover,Germany,2025-10-22,Premium
40,Ben,Neumann,ben.neumann40@example.com,Nuremberg,Germany,2023-08-06,Standard
41,Lea,Hoffmann,lea.hoffmann41@example.com,Essen,Germany,2025-11-05,Standard
42,Emma,Weber,emma.weber42@example.com,Hanover,Germany,2025-02-04,Standard
